"Year","Region","Women.enrolled","Rinunce"
"2016","Valle d'Aosta / Vallée d'Aoste","0.72710103871577",10.8
"2016","Veneto","0.578156044627847",7.1
"2017","Abruzzo","0.601728048385355",7.7
"2017","Basilicata","0.572535318243962",11.5
"2017","Calabria","0.581422500350255",10.4
"2017","Campania","0.552021357363676",17.7
"2017","Emilia-Romagna","0.554219168923667",8.7
"2017","Friuli-Venezia Giulia","0.537708846435466",7.3
"2017","Lazio","0.526017232270187",8.4
"2017","Liguria","0.5465076234307",13.5
"2017","Lombardia","0.538188444386482",8.2
"2017","Marche","0.568573964625143",5
"2017","Molise","0.594198694706309",9.9
"2017","Piemonte","0.518053591750871",7.6
"2017","Puglia","0.582761288421156",13.6
"2017","Sardegna","0.603542875058787",15.6
"2017","Sicilia","0.592311708295551",17.4
"2017","Toscana","0.56079328355593",8.6
"2017","Trentino Alto Adige / Südtirol","0.536289311330692",9.1
"2017","Umbria","0.573589636439616",8.5
"2017","Valle d'Aosta / Vallée d'Aoste","0.713333333333333",11.8
"2017","Veneto","0.577397060071471",10.7
"2018","Abruzzo","0.600540828087596",6.9
"2018","Basilicata","0.578373325023372",8
"2018","Calabria","0.583034561881543",14.7
"2018","Campania","0.549910480913765",18.7
"2018","Emilia-Romagna","0.559286616453846",9.1
"2018","Friuli-Venezia Giulia","0.542788987178213",6.9
"2018","Lazio","0.528286366392344",8.5
"2018","Liguria","0.553505413255875",12.6
"2018","Lombardia","0.540259767524861",9.9
"2018","Marche","0.570318066981927",6.8
"2018","Molise","0.585315712187959",8
"2018","Piemonte","0.52099626695495",11.5
"2018","Puglia","0.581871955035773",13
"2018","Sardegna","0.601843342173673",16.5
"2018","Sicilia","0.590694735253617",20.7
"2018","Toscana","0.559204189215223",9.8
"2018","Trentino Alto Adige / Südtirol","0.539057106223493",8
"2018","Umbria","0.572970551097715",7.1
"2018","Valle d'Aosta / Vallée d'Aoste","0.69208211143695",13.6
"2018","Veneto","0.575868321417499",10.6
"2019","Abruzzo","0.601378309756982",4.2
"2019","Basilicata","0.572611464968153",8.6
"2019","Calabria","0.587306237031612",16.6
"2019","Campania","0.548148996085075",15.7
"2019","Emilia-Romagna","0.560429510629045",8.5
"2019","Friuli-Venezia Giulia","0.547011925940568",7.4
"2019","Lazio","0.533084735893215",10.2
"2019","Liguria","0.555599188428562",6.6
"2019","Lombardia","0.543547619760529",10.1
"2019","Marche","0.572777426459365",5.6
"2019","Molise","0.581620494489127",7
"2019","Piemonte","0.522659206845483",10.3
"2019","Puglia","0.582744992474947",14.4
"2019","Sardegna","0.600228678343121",13.1
"2019","Sicilia","0.59188233630321",20.1
"2019","Toscana","0.560520426024785",8.2
"2019","Trentino Alto Adige / Südtirol","0.544722503495829",7.8
"2019","Umbria","0.581419921160645",8.4
"2019","Valle d'Aosta / Vallée d'Aoste","0.688976377952756",9.7
"2019","Veneto","0.576317405952758",7.6
"2020","Abruzzo","0.601415575871691",5.3
"2020","Basilicata","0.581758422350041",7.2
"2020","Calabria","0.592157928546721",12.8
"2020","Campania","0.550132540630267",14.5
"2020","Emilia-Romagna","0.565160988865731",8.4
"2020","Friuli-Venezia Giulia","0.551822823506456",6.7
"2020","Lazio","0.536948711381241",7.7
"2020","Liguria","0.560548693439265",6.5
"2020","Lombardia","0.549098094691335",9.1
"2020","Marche","0.575224671882071",7.6
"2020","Molise","0.599128212836314",5.5
"2020","Piemonte","0.527640002884592",10.7
"2020","Puglia","0.582120881361625",14.1
"2020","Sardegna","0.604431871758604",8.2
"2020","Sicilia","0.594236529714138",15.1
"2020","Toscana","0.565955992309336",9.1
"2020","Trentino Alto Adige / Südtirol","0.546704760060046",8.4
"2020","Umbria","0.596176341570405",12
"2020","Valle d'Aosta / Vallée d'Aoste","0.691714836223507",9
"2020","Veneto","0.576367579436141",8.1
"2021","Abruzzo","0.595576360444705",NA
"2021","Basilicata","0.591482112436116",NA
"2021","Calabria","0.593723216536425",NA
"2021","Campania","0.556951578585398",NA
"2021","Emilia-Romagna","0.568635215484397",NA
"2021","Friuli-Venezia Giulia","0.554926535554174",NA
"2021","Lazio","0.542149701912279",NA
"2021","Liguria","0.560983257038941",NA
"2021","Lombardia","0.551169630915107",NA
"2021","Marche","0.586652504868118",NA
"2021","Molise","0.606217616580311",NA
"2021","Piemonte","0.531257067166349",NA
"2021","Puglia","0.585458920173531",NA
"2021","Sardegna","0.605339241806047",NA
"2021","Sicilia","0.59841366117669",NA
"2021","Toscana","0.570567020982882",NA
"2021","Trentino Alto Adige / Südtirol","0.549432896850509",NA
"2021","Umbria","0.603526268922529",NA
"2021","Valle d'Aosta / Vallée d'Aoste","0.714720812182741",NA
"2021","Veneto","0.581022990306131",NA
"2004","Abruzzo",NA,10.8
"2005","Abruzzo",NA,13.4
"2006","Abruzzo",NA,11.6
"2007","Abruzzo",NA,10.4
"2008","Abruzzo","0.574833447481477",15
"2009","Abruzzo","0.580031488614937",11.7
"2010","Abruzzo","0.575450207419131",8.9
"2011","Abruzzo","0.576417678412792",10.1
"2004","Basilicata",NA,12.7
"2005","Basilicata",NA,13.8
"2006","Basilicata",NA,9.4
"2007","Basilicata",NA,9.3
"2008","Basilicata","0.574064762670957",8.7
"2009","Basilicata","0.575337986543419",9.2
"2010","Basilicata","0.576777769492705",13.4
"2011","Basilicata","0.578554928131417",10.4
"2004","Calabria",NA,18.9
"2005","Calabria",NA,16.5
"2006","Calabria",NA,17.4
"2007","Calabria",NA,18.1
"2008","Calabria","0.573900403089737",15.5
"2009","Calabria","0.579133329113783",12.7
"2010","Calabria","0.582787547519669",12.8
"2011","Calabria","0.584904798172125",15.1
"2004","Campania",NA,25.5
"2005","Campania",NA,24.8
"2006","Campania",NA,25.4
"2007","Campania",NA,28.4
"2008","Campania","0.569877040084045",25.8
"2009","Campania","0.574948090771202",23.2
"2010","Campania","0.576654691681081",22.3
"2011","Campania","0.573862054232444",21
"2004","Emilia-Romagna",NA,18.3
"2005","Emilia-Romagna",NA,16.2
"2006","Emilia-Romagna",NA,12.6
"2007","Emilia-Romagna",NA,13
"2008","Emilia-Romagna","0.558904903309915",11.8
"2009","Emilia-Romagna","0.559349404973872",11.2
"2010","Emilia-Romagna","0.561509772279003",12.2
"2011","Emilia-Romagna","0.561586098264441",12.6
"2004","Friuli-Venezia Giulia",NA,13.3
"2005","Friuli-Venezia Giulia",NA,12
"2006","Friuli-Venezia Giulia",NA,17.6
"2007","Friuli-Venezia Giulia",NA,8.8
"2008","Friuli-Venezia Giulia","0.550654774466573",12.2
"2009","Friuli-Venezia Giulia","0.556846056429623",12.3
"2010","Friuli-Venezia Giulia","0.555784747230706",10.5
"2011","Friuli-Venezia Giulia","0.557369270190756",11.8
"2004","Lazio",NA,13.6
"2005","Lazio",NA,10.3
"2006","Lazio",NA,9.5
"2007","Lazio",NA,8.3
"2008","Lazio","0.55877029002298",10.6
"2009","Lazio","0.562376102501833",7.7
"2010","Lazio","0.564866621229652",9.4
"2011","Lazio","0.56081407332137",11.8
"2004","Liguria",NA,11.1
"2005","Liguria",NA,14.7
"2006","Liguria",NA,14.7
"2007","Liguria",NA,13.8
"2008","Liguria","0.558267284693228",9.8
"2009","Liguria","0.56119422174468",10.7
"2010","Liguria","0.561144752150533",15.2
"2011","Liguria","0.563598395949217",10.4
"2004","Lombardia",NA,17.7
"2005","Lombardia",NA,17.8
"2006","Lombardia",NA,13.3
"2007","Lombardia",NA,12.7
"2008","Lombardia","0.552697985110131",15.1
"2009","Lombardia","0.556794401010819",17
"2010","Lombardia","0.55713481611745",14.6
"2011","Lombardia","0.556410187855718",13.8
"2004","Marche",NA,15.1
"2005","Marche",NA,17.8
"2006","Marche",NA,15.2
"2007","Marche",NA,13.2
"2008","Marche","0.572126942245676",13.8
"2009","Marche","0.572405426271093",15.3
"2010","Marche","0.571659676014377",10.6
"2011","Marche","0.569093951780108",11.4
"2004","Molise",NA,10.2
"2005","Molise",NA,10.2
"2006","Molise",NA,11.4
"2007","Molise",NA,11.7
"2008","Molise","0.571729676961306",12.6
"2009","Molise","0.574710060235548",13.6
"2010","Molise","0.578556164638112",9.4
"2011","Molise","0.571042786710601",8.7
"2004","Piemonte",NA,18.5
"2005","Piemonte",NA,16
"2006","Piemonte",NA,15.8
"2007","Piemonte",NA,14.3
"2008","Piemonte","0.557625169079029",17.3
"2009","Piemonte","0.558674313056328",17.1
"2010","Piemonte","0.557076165954173",13.9
"2011","Piemonte","0.558459699550174",13.3
"2004","Puglia",NA,26.5
"2005","Puglia",NA,24.7
"2006","Puglia",NA,22.4
"2007","Puglia",NA,21.4
"2008","Puglia","0.58156157746153",18.7
"2009","Puglia","0.582090811780748",18.9
"2010","Puglia","0.583717103517097",16.9
"2011","Puglia","0.581635727865732",14.7
"2004","Sardegna",NA,21
"2005","Sardegna",NA,23.4
"2006","Sardegna",NA,22.2
"2007","Sardegna",NA,16.7
"2008","Sardegna","0.613825076893611",18.3
"2009","Sardegna","0.615264604932384",16.9
"2010","Sardegna","0.615352095663728",15.4
"2011","Sardegna","0.614650217037946",18.1
"2004","Sicilia",NA,25.7
"2005","Sicilia",NA,26
"2006","Sicilia",NA,24.5
"2007","Sicilia",NA,22.7
"2008","Sicilia","0.583415998173263",23
"2009","Sicilia","0.585991453891639",23.6
"2010","Sicilia","0.587799130895931",22.1
"2011","Sicilia","0.585241900037674",20.8
"2004","Toscana",NA,15.3
"2005","Toscana",NA,10.7
"2006","Toscana",NA,12.9
"2007","Toscana",NA,12.7
"2008","Toscana","0.560315457413249",13
"2009","Toscana","0.562353539448999",15.6
"2010","Toscana","0.559622951344089",14.7
"2011","Toscana","0.562053090760805",13.4
"2004","Trentino Alto Adige / Südtirol",NA,17
"2005","Trentino Alto Adige / Südtirol",NA,13.8
"2006","Trentino Alto Adige / Südtirol",NA,12.4
"2007","Trentino Alto Adige / Südtirol",NA,13.3
"2008","Trentino Alto Adige / Südtirol","0.576006881338531",13.1
"2009","Trentino Alto Adige / Südtirol","0.582442834183889",13.9
"2010","Trentino Alto Adige / Südtirol","0.591788149953087",13.2
"2011","Trentino Alto Adige / Südtirol","0.586383508538604",9.9
"2004","Umbria",NA,11.2
"2005","Umbria",NA,14
"2006","Umbria",NA,12.2
"2007","Umbria",NA,9.7
"2008","Umbria","0.573940086316324",12.6
"2009","Umbria","0.577434432614905",7.4
"2010","Umbria","0.575438736864565",9.7
"2011","Umbria","0.576323945377526",11
"2004","Valle d'Aosta / Vallée d'Aoste",NA,18.3
"2005","Valle d'Aosta / Vallée d'Aoste",NA,17.8
"2006","Valle d'Aosta / Vallée d'Aoste",NA,15.3
"2007","Valle d'Aosta / Vallée d'Aoste",NA,15.2
"2008","Valle d'Aosta / Vallée d'Aoste","0.583702104695089",19.1
"2009","Valle d'Aosta / Vallée d'Aoste","0.597220665695394",21.1
"2010","Valle d'Aosta / Vallée d'Aoste","0.599361795774648",15.2
"2011","Valle d'Aosta / Vallée d'Aoste","0.596204766107679",14.1
"2004","Veneto",NA,14.5
"2005","Veneto",NA,15
"2006","Veneto",NA,12.3
"2007","Veneto",NA,11.5
"2008","Veneto","0.553154677227114",13.3
"2009","Veneto","0.555737699950609",12.7
"2010","Veneto","0.553976372343488",13.6
"2011","Veneto","0.553487046617057",13.3
