"Territorio" "Classe.di.età" "TIME" "Value"
"Nord" "55-64 anni" "2020" 57.058403
"Nord" "55-64 anni" "2021" 56.761996
"Centro" "55-64 anni" "2018" 58.868864
"Centro" "55-64 anni" "2019" 59.446957
"Centro" "55-64 anni" "2020" 59.004706
"Centro" "55-64 anni" "2021" 59.540244
"Mezzogiorno" "55-64 anni" "2018" 45.491811
"Mezzogiorno" "55-64 anni" "2019" 45.262386
"Mezzogiorno" "55-64 anni" "2020" 44.641093
"Mezzogiorno" "55-64 anni" "2021" 45.080251
"Mezzogiorno" "25-34 anni" "2004" 52.396661
"Mezzogiorno" "25-34 anni" "2005" 51.575943
"Mezzogiorno" "25-34 anni" "2006" 52.617333
"Mezzogiorno" "25-34 anni" "2007" 52.896801
"Mezzogiorno" "25-34 anni" "2008" 52.449896
"Mezzogiorno" "25-34 anni" "2009" 49.251723
"Mezzogiorno" "25-34 anni" "2010" 46.457089
"Mezzogiorno" "25-34 anni" "2011" 47.11797
"Mezzogiorno" "25-34 anni" "2012" 46.317577
"Mezzogiorno" "25-34 anni" "2013" 41.76884
"Mezzogiorno" "25-34 anni" "2014" 41.049897
"Mezzogiorno" "25-34 anni" "2015" 42.101842
"Mezzogiorno" "25-34 anni" "2016" 42.692353
"Mezzogiorno" "25-34 anni" "2017" 43.815728
"Mezzogiorno" "25-34 anni" "2018" 44.299929
"Mezzogiorno" "25-34 anni" "2019" 44.992969
"Mezzogiorno" "25-34 anni" "2020" 42.658177
"Mezzogiorno" "25-34 anni" "2021" 45.72745
"Mezzogiorno" "35-44 anni" "2018" 56.750132
"Mezzogiorno" "35-44 anni" "2019" 56.891716
"Mezzogiorno" "35-44 anni" "2020" 56.32285
"Mezzogiorno" "35-44 anni" "2021" 56.721198
"Mezzogiorno" "45-54 anni" "2018" 55.777836
"Mezzogiorno" "45-54 anni" "2019" 56.360994
"Mezzogiorno" "45-54 anni" "2020" 55.533177
"Mezzogiorno" "45-54 anni" "2021" 56.292768
"Mezzogiorno" "15-24 anni" "2004" 18.686714
"Mezzogiorno" "15-24 anni" "2005" 17.117057
"Mezzogiorno" "15-24 anni" "2006" 17.371551
"Mezzogiorno" "15-24 anni" "2007" 17.026867
"Mezzogiorno" "15-24 anni" "2008" 16.892425
"Mezzogiorno" "15-24 anni" "2009" 14.700102
"Mezzogiorno" "15-24 anni" "2010" 14.300117
"Mezzogiorno" "15-24 anni" "2011" 13.401388
"Mezzogiorno" "15-24 anni" "2012" 13.034762
"Mezzogiorno" "15-24 anni" "2013" 11.466535
"Mezzogiorno" "15-24 anni" "2014" 10.556349
"Mezzogiorno" "15-24 anni" "2015" 10.9745
"Mezzogiorno" "15-24 anni" "2016" 11.78159
"Mezzogiorno" "15-24 anni" "2017" 11.420905
"Mezzogiorno" "15-24 anni" "2018" 11.746942
"Mezzogiorno" "15-24 anni" "2019" 12.243508
"Mezzogiorno" "15-24 anni" "2020" 11.266706
"Mezzogiorno" "15-24 anni" "2021" 12.446742
