"Year","Region","Età","Abortions"
2016,"Piemonte","30-34 anni",22.01
2017,"Piemonte","30-34 anni",21.13
2018,"Piemonte","30-34 anni",22.4
2019,"Piemonte","30-34 anni",22.81
2020,"Piemonte","30-34 anni",23.02
2021,"Piemonte","30-34 anni",22.51
2022,"Piemonte","30-34 anni",22.71
2010,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",20.88
2011,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",16.4
2012,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",19.42
2013,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",21.99
2014,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",23.81
2015,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",17.65
2016,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",19.69
2017,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",22.75
2018,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",17.57
2019,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",26.58
2020,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",26.27
2021,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",21.85
2022,"Valle d'Aosta / Vallée d'Aoste","30-34 anni",27.2
2010,"Liguria","30-34 anni",20.34
2011,"Liguria","30-34 anni",20.65
2012,"Liguria","30-34 anni",20.02
2013,"Liguria","30-34 anni",20.79
2014,"Liguria","30-34 anni",20.64
2015,"Liguria","30-34 anni",20.15
2016,"Liguria","30-34 anni",19.73
2017,"Liguria","30-34 anni",19.93
2018,"Liguria","30-34 anni",20.23
2019,"Liguria","30-34 anni",21.59
2020,"Liguria","30-34 anni",21.49
2021,"Liguria","30-34 anni",21.88
2022,"Liguria","30-34 anni",22.66
2010,"Lombardia","30-34 anni",23.1
2011,"Lombardia","30-34 anni",22.44
2012,"Lombardia","30-34 anni",22.75
2013,"Lombardia","30-34 anni",21.62
2014,"Lombardia","30-34 anni",22.31
2015,"Lombardia","30-34 anni",21.77
2016,"Lombardia","30-34 anni",22.39
2017,"Lombardia","30-34 anni",22.14
2018,"Lombardia","30-34 anni",22.68
2019,"Lombardia","30-34 anni",22.93
2020,"Lombardia","30-34 anni",23.5
2021,"Lombardia","30-34 anni",22.64
2022,"Lombardia","30-34 anni",23.55
2010,"Trentino Alto Adige / Südtirol","30-34 anni",21.89
2011,"Trentino Alto Adige / Südtirol","30-34 anni",22.86
2012,"Trentino Alto Adige / Südtirol","30-34 anni",20.99
2013,"Trentino Alto Adige / Südtirol","30-34 anni",21.59
2014,"Trentino Alto Adige / Südtirol","30-34 anni",21.84
2015,"Trentino Alto Adige / Südtirol","30-34 anni",23.23
2016,"Trentino Alto Adige / Südtirol","30-34 anni",21.91
2017,"Trentino Alto Adige / Südtirol","30-34 anni",20.23
2018,"Trentino Alto Adige / Südtirol","30-34 anni",21.46
2019,"Trentino Alto Adige / Südtirol","30-34 anni",20.86
2020,"Trentino Alto Adige / Südtirol","30-34 anni",22.38
2021,"Trentino Alto Adige / Südtirol","30-34 anni",23.06
2022,"Trentino Alto Adige / Südtirol","30-34 anni",23.33
2010,"Veneto","30-34 anni",22.93
2011,"Veneto","30-34 anni",22.98
2012,"Veneto","30-34 anni",23.22
2013,"Veneto","30-34 anni",22.04
2014,"Veneto","30-34 anni",23
2015,"Veneto","30-34 anni",20.54
2016,"Veneto","30-34 anni",21.82
2017,"Veneto","30-34 anni",21.38
2018,"Veneto","30-34 anni",24.39
2019,"Veneto","30-34 anni",23.55
2020,"Veneto","30-34 anni",21.9
2021,"Veneto","30-34 anni",23.02
2022,"Veneto","30-34 anni",23.53
2010,"Friuli-Venezia Giulia","30-34 anni",21.17
2011,"Friuli-Venezia Giulia","30-34 anni",20.94
2012,"Friuli-Venezia Giulia","30-34 anni",21.59
2013,"Friuli-Venezia Giulia","30-34 anni",22.35
2014,"Friuli-Venezia Giulia","30-34 anni",18.79
2015,"Friuli-Venezia Giulia","30-34 anni",22.64
2016,"Friuli-Venezia Giulia","30-34 anni",21.07
2017,"Friuli-Venezia Giulia","30-34 anni",21.5
2018,"Friuli-Venezia Giulia","30-34 anni",22.26
2019,"Friuli-Venezia Giulia","30-34 anni",19.44
2020,"Friuli-Venezia Giulia","30-34 anni",22.99
2021,"Friuli-Venezia Giulia","30-34 anni",23.6
2022,"Friuli-Venezia Giulia","30-34 anni",22.87
2010,"Emilia-Romagna","30-34 anni",23.61
2011,"Emilia-Romagna","30-34 anni",23.42
2012,"Emilia-Romagna","30-34 anni",22.23
2013,"Emilia-Romagna","30-34 anni",22.41
2014,"Emilia-Romagna","30-34 anni",21.95
2015,"Emilia-Romagna","30-34 anni",22.24
2016,"Emilia-Romagna","30-34 anni",22.67
2017,"Emilia-Romagna","30-34 anni",23.13
2018,"Emilia-Romagna","30-34 anni",22.75
2019,"Emilia-Romagna","30-34 anni",22.97
2020,"Emilia-Romagna","30-34 anni",25.13
2021,"Emilia-Romagna","30-34 anni",24.49
2022,"Emilia-Romagna","30-34 anni",23.48
2010,"Toscana","30-34 anni",23.23
2011,"Toscana","30-34 anni",23.04
2012,"Toscana","30-34 anni",21.76
2013,"Toscana","30-34 anni",21.89
2014,"Toscana","30-34 anni",22.29
2015,"Toscana","30-34 anni",22.66
2016,"Toscana","30-34 anni",21.7
2017,"Toscana","30-34 anni",22.53
2018,"Toscana","30-34 anni",22.39
2019,"Toscana","30-34 anni",22.91
2020,"Toscana","30-34 anni",23.69
2021,"Toscana","30-34 anni",23.44
2022,"Toscana","30-34 anni",23.19
2010,"Umbria","30-34 anni",22.57
2011,"Umbria","30-34 anni",23.25
2012,"Umbria","30-34 anni",23.64
2013,"Umbria","30-34 anni",22.03
2014,"Umbria","30-34 anni",22.09
2015,"Umbria","30-34 anni",19.78
2016,"Umbria","30-34 anni",23.78
2017,"Umbria","30-34 anni",22.34
2018,"Umbria","30-34 anni",18.79
2019,"Umbria","30-34 anni",22.24
2020,"Umbria","30-34 anni",24.34
2021,"Umbria","30-34 anni",23.57
2022,"Umbria","30-34 anni",21.84
2010,"Marche","30-34 anni",23.29
2011,"Marche","30-34 anni",22.69
2012,"Marche","30-34 anni",23
2013,"Marche","30-34 anni",23.54
2014,"Marche","30-34 anni",21.58
2015,"Marche","30-34 anni",21.31
2016,"Marche","30-34 anni",22.12
2017,"Marche","30-34 anni",19.86
2018,"Marche","30-34 anni",21.74
2019,"Marche","30-34 anni",21.79
2020,"Marche","30-34 anni",21.02
2021,"Marche","30-34 anni",22.25
2022,"Marche","30-34 anni",21.53
2010,"Lazio","30-34 anni",20.93
2011,"Lazio","30-34 anni",20.43
2012,"Lazio","30-34 anni",20.61
2013,"Lazio","30-34 anni",21.04
2014,"Lazio","30-34 anni",20.84
2015,"Lazio","30-34 anni",20.91
2016,"Lazio","30-34 anni",20.59
2017,"Lazio","30-34 anni",21.5
2018,"Lazio","30-34 anni",21.26
2019,"Lazio","30-34 anni",21.67
2020,"Lazio","30-34 anni",22.19
2021,"Lazio","30-34 anni",22.48
2022,"Lazio","30-34 anni",23.02
2010,"Abruzzo","30-34 anni",20.39
2011,"Abruzzo","30-34 anni",21.26
2012,"Abruzzo","30-34 anni",22.35
2013,"Abruzzo","30-34 anni",19.68
2014,"Abruzzo","30-34 anni",21.7
2015,"Abruzzo","30-34 anni",21.27
2016,"Abruzzo","30-34 anni",20.49
2017,"Abruzzo","30-34 anni",22.52
2018,"Abruzzo","30-34 anni",22.01
2019,"Abruzzo","30-34 anni",22.04
2020,"Abruzzo","30-34 anni",21.68
2021,"Abruzzo","30-34 anni",24.54
2022,"Abruzzo","30-34 anni",24.07
2010,"Molise","30-34 anni",19.44
2011,"Molise","30-34 anni",23.68
2012,"Molise","30-34 anni",23.61
2013,"Molise","30-34 anni",20.25
2014,"Molise","30-34 anni",18.63
2015,"Molise","30-34 anni",19.35
2016,"Molise","30-34 anni",19.29
2017,"Molise","30-34 anni",22.83
2018,"Molise","30-34 anni",17.87
2019,"Molise","30-34 anni",19.17
2020,"Molise","30-34 anni",24.84
2021,"Molise","30-34 anni",23.81
2022,"Molise","30-34 anni",20.85
2010,"Campania","30-34 anni",22.09
2011,"Campania","30-34 anni",21.66
2012,"Campania","30-34 anni",21.19
2013,"Campania","30-34 anni",21.61
2014,"Campania","30-34 anni",22.13
2015,"Campania","30-34 anni",22.27
2016,"Campania","30-34 anni",21.08
2017,"Campania","30-34 anni",20.86
2018,"Campania","30-34 anni",21.63
2019,"Campania","30-34 anni",21.74
2020,"Campania","30-34 anni",22.98
2021,"Campania","30-34 anni",22.62
2022,"Campania","30-34 anni",23.19
2010,"Puglia","30-34 anni",21.41
2011,"Puglia","30-34 anni",21.36
2012,"Puglia","30-34 anni",21.54
2013,"Puglia","30-34 anni",21.86
2014,"Puglia","30-34 anni",20.88
2015,"Puglia","30-34 anni",21.09
2016,"Puglia","30-34 anni",20.74
2017,"Puglia","30-34 anni",21.27
2018,"Puglia","30-34 anni",21.23
2019,"Puglia","30-34 anni",20.63
2020,"Puglia","30-34 anni",21.71
2021,"Puglia","30-34 anni",21.75
2022,"Puglia","30-34 anni",22.2
2010,"Basilicata","30-34 anni",21.81
2011,"Basilicata","30-34 anni",19.89
2012,"Basilicata","30-34 anni",18.52
2013,"Basilicata","30-34 anni",17.08
2014,"Basilicata","30-34 anni",19.79
2015,"Basilicata","30-34 anni",20.06
2016,"Basilicata","30-34 anni",19.23
2017,"Basilicata","30-34 anni",22.43
2018,"Basilicata","30-34 anni",20.7
2019,"Basilicata","30-34 anni",22.99
2020,"Basilicata","30-34 anni",23.48
2021,"Basilicata","30-34 anni",21.28
2022,"Basilicata","30-34 anni",24.71
2010,"Calabria","30-34 anni",21.78
2011,"Calabria","30-34 anni",22.18
2012,"Calabria","30-34 anni",20.93
2013,"Calabria","30-34 anni",21.22
2014,"Calabria","30-34 anni",21.48
2015,"Calabria","30-34 anni",22.58
2016,"Calabria","30-34 anni",23.41
2017,"Calabria","30-34 anni",21.19
2018,"Calabria","30-34 anni",23.49
2019,"Calabria","30-34 anni",22.49
2020,"Calabria","30-34 anni",23.37
2021,"Calabria","30-34 anni",22.67
2022,"Calabria","30-34 anni",25.48
2010,"Sicilia","30-34 anni",21.33
2011,"Sicilia","30-34 anni",19.98
2012,"Sicilia","30-34 anni",20.04
2013,"Sicilia","30-34 anni",20.4
2014,"Sicilia","30-34 anni",20.15
2015,"Sicilia","30-34 anni",20.05
2016,"Sicilia","30-34 anni",20.1
2017,"Sicilia","30-34 anni",21.15
2018,"Sicilia","30-34 anni",21.9
2019,"Sicilia","30-34 anni",22.38
2020,"Sicilia","30-34 anni",22.65
2021,"Sicilia","30-34 anni",23.6
2022,"Sicilia","30-34 anni",21.68
2010,"Sardegna","30-34 anni",20.06
2011,"Sardegna","30-34 anni",20
2012,"Sardegna","30-34 anni",21.1
2013,"Sardegna","30-34 anni",21.27
2014,"Sardegna","30-34 anni",20.66
2015,"Sardegna","30-34 anni",23.08
2016,"Sardegna","30-34 anni",21.9
2017,"Sardegna","30-34 anni",19.77
2018,"Sardegna","30-34 anni",20.37
2019,"Sardegna","30-34 anni",20.45
2020,"Sardegna","30-34 anni",20.13
2021,"Sardegna","30-34 anni",22.96
2022,"Sardegna","30-34 anni",23.29
